id,name,contact,email,address
1,Diamond Stop,9436297208,diamond.stop34@rediffmail.com,79 SG Highway Indore 490084
2,Happy Diner,9464975279,happy.diner141@rediffmail.com,188 Anna Salai Chandigarh 781113
3,Paradise Bowl,7487258103,paradise.bowl27@icloud.com,96 Civil Lines Coimbatore 505785
4,Garden Express,8124322241,garden.express794@outlook.com,361 SG Highway Pune 741599
5,Chef's Inn,7859759428,chefs.inn126@yahoo.com,437 Cedar Rd Surat 281043
6,Happy House,9928863857,happy.house991@outlook.com,342 Nehru Marg Ghaziabad 168093
7,Garden Terrace,8247096480,garden.terrace913@outlook.com,436 Market St Ghaziabad 844031
8,Tandoori Point,9185089287,tandoori.point230@gmail.com,103 Broadway Ahmedabad 928766
9,Crispy Grill,8550038771,crispy.grill568@rediffmail.com,189 Ring Rd Kochi 236074
10,Rustic House,7282385977,rustic.house317@hotmail.com,368 Mall Rd Coimbatore 530749
11,Red Diner,7538274418,red.diner996@outlook.com,329 Cedar Rd Surat 588461
12,Fire Hut,7551192946,fire.hut900@rediffmail.com,328 Sector 17 Kolkata 905077
13,Urban Tandoor,9159783506,urban.tandoor933@gmail.com,426 Walnut Ave Coimbatore 260448
14,Flavors of Hub,7695642802,flavors.of.hub331@icloud.com,116 Nehru Marg Coimbatore 397846
15,Little Plate,7843110305,little.plate651@rediffmail.com,141 Broadway Gurgaon 417534
16,Rustic Terrace,7401271939,rustic.terrace515@icloud.com,87 Sector 17 Mysore 261684
17,Curry Garden,9420721027,curry.garden43@gmail.com,42 Oak Lane Gurgaon 908475
18,Palace Plate,9796581976,palace.plate216@rediffmail.com,214 Block C Gurgaon 131757
19,Crispy Terrace,8244130290,crispy.terrace658@outlook.com,248 College Ave Faridabad 525818
20,Flavors of Restaurant,7313416738,flavors.of.restaurant706@gmail.com,81 SG Highway Nagpur 607774
21,Lucky Table,8461115950,lucky.table622@yahoo.com,161 Washington Blvd Thane 462147
22,Green Corner,8591458030,green.corner528@rediffmail.com,55 Washington Blvd Ahmedabad 589131
23,Classic Eatery,8931000173,classic.eatery254@yahoo.com,50 Elm St Lucknow 502810
24,Rustic Wok,8066312714,rustic.wok986@yahoo.com,417 Washington Blvd Mysore 856157
25,The Original Place,7684370461,the.original.place511@rediffmail.com,240 Civil Lines Lucknow 621530
26,Royal House,8688962331,royal.house518@hotmail.com,495 College Ave Pune 711680
27,Star Cafe,7217069388,star.cafe289@hotmail.com,306 Mall Rd Lucknow 662761
28,The Golden Palace,8850820685,the.golden.palace138@outlook.com,373 MG Road Navi Mumbai 522842
29,Diamond Bistro,8720484983,diamond.bistro53@rediffmail.com,288 Hill St Indore 680096
30,Chef's Diner,8659355558,chefs.diner517@hotmail.com,392 Connaught Place Jaipur 965401
31,Rustic Express,7552605034,rustic.express999@gmail.com,202 MG Road Chandigarh 684929
32,Diamond Junction,7854947088,diamond.junction617@rediffmail.com,206 Residency Rd Delhi 147504
33,Spice Corner,8430398942,spice.corner824@hotmail.com,266 Ring Rd Chennai 735710
34,Smoky Corner,8408602588,smoky.corner954@rediffmail.com,164 Market St Bhopal 746447
35,Flavors of Garden,9178901271,flavors.of.garden849@rediffmail.com,273 Civil Lines Ghaziabad 690268
36,Flavors of Bar & Grill,7071455195,flavors.of.bar.&.grill378@outlook.com,345 Walnut Ave Nagpur 712056
37,Flavors of Grill,9563707272,flavors.of.grill486@outlook.com,496 Sector 17 Mysore 338596
38,Taste of Bar & Grill,7732343731,taste.of.bar.&.grill537@icloud.com,370 Block C Navi Mumbai 982027
39,Silver Junction,9923699745,silver.junction249@gmail.com,294 Walnut Ave Pune 119857
40,Happy Delight,8798647685,happy.delight156@hotmail.com,354 River Rd Nagpur 626195
41,Rustic Bar & Grill,7267496095,rustic.bar.&.grill723@yahoo.com,266 River Rd Kochi 440839
42,Fresh Nest,8618450083,fresh.nest322@yahoo.com,236 Jubilee Hills Chandigarh 672808
43,Star Plate,9620258967,star.plate496@yahoo.com,491 College Ave Jaipur 685196
